Blacklist_ID,Customer_ID,Reason,Date_Added,Added_By
1,19,Multiple fraudulent transactions,2024-01-18,Ahmed Khan
2,21,Forged documents submitted,2024-10-07,Omar Farooq
3,7,Identity theft confirmed,2023-10-03,Ahmed Khan
4,6,Identity theft confirmed,2023-07-30,Zara Hussain
5,49,Multiple fraudulent transactions,2024-08-04,Sara Malik
6,43,Multiple fraudulent transactions,2023-06-15,Sara Malik
7,50,Money laundering suspected,2023-11-15,Omar Farooq
8,20,Forged documents submitted,2024-09-13,Ahmed Khan
9,29,Identity theft confirmed,2024-03-25,Zara Hussain
10,39,Money laundering suspected,2024-01-07,Omar Farooq
11,28,Forged documents submitted,2024-10-14,Ahmed Khan
12,11,Identity theft confirmed,2024-04-10,Omar Farooq
13,42,Forged documents submitted,2023-01-23,Omar Farooq
14,23,Money laundering suspected,2024-09-23,Sara Malik
15,38,Multiple fraudulent transactions,2024-03-30,Ahmed Khan
16,3,Identity theft confirmed,2023-01-23,Zara Hussain
17,37,Forged documents submitted,2024-10-01,Ahmed Khan
18,40,Money laundering suspected,2023-01-20,Omar Farooq
19,18,Forged documents submitted,2023-06-08,Sara Malik
20,46,Money laundering suspected,2023-12-28,Zara Hussain
