Alert_ID,Transaction_ID,Alert_Type,Priority,Alert_Time,Status,Assigned_Investigator_ID
1,46,Night Time Transaction,High,2023-02-28 04:33:09.463473,Closed,10
2,40,Multiple Transactions,High,2023-06-23 18:42:49.523469,Open,3
3,85,Night Time Transaction,High,2024-03-21 23:34:16.829982,Open,6
4,72,Multiple Transactions,High,2024-07-24 20:50:47.224736,Closed,10
5,29,Night Time Transaction,High,2024-04-30 04:39:04.100735,Closed,1
6,24,Multiple Transactions,Medium,2023-09-25 01:14:52.024168,Closed,6
7,1,Large Amount,High,2024-04-02 17:49:01.158618,Escalated,2
8,19,Unusual Location,High,2024-03-29 19:58:32.514809,Open,7
9,54,Night Time Transaction,Medium,2024-02-17 05:10:51.195033,Open,6
10,40,Multiple Transactions,High,2024-04-18 03:32:35.442318,Open,3
11,21,Foreign IP Detected,High,2024-01-21 14:41:04.747662,Open,5
12,57,Night Time Transaction,Low,2024-09-22 08:38:36.614081,Escalated,7
13,35,Large Amount,High,2024-05-12 02:12:43.169909,Closed,7
14,15,Multiple Transactions,Low,2023-10-16 10:18:58.487245,Closed,1
15,29,Night Time Transaction,High,2023-01-23 00:34:09.104812,Open,4
16,39,Large Amount,High,2023-06-28 05:05:23.581437,Closed,5
17,42,Unusual Location,High,2023-03-05 03:13:30.717686,Escalated,12
18,56,Large Amount,High,2024-03-30 06:20:07.623256,Escalated,9
19,91,Large Amount,Medium,2023-05-25 18:27:43.103631,Open,7
20,95,Unusual Location,Low,2023-08-01 12:47:27.211082,Open,8
21,10,Multiple Transactions,Low,2023-09-24 07:43:40.402752,Escalated,12
22,82,Night Time Transaction,Medium,2024-12-24 13:24:59.545882,Open,7
23,3,Multiple Transactions,High,2024-02-04 06:56:37.452095,Escalated,14
24,89,Multiple Transactions,High,2024-01-09 23:00:43.384336,Escalated,14
25,14,Large Amount,Low,2024-04-11 23:40:22.961657,Escalated,9
26,11,Night Time Transaction,Medium,2024-12-15 03:42:29.463683,Closed,4
27,43,Large Amount,High,2024-03-14 00:46:36.646010,Open,9
28,66,Large Amount,Medium,2024-07-15 12:26:06.728412,Closed,12
29,83,Large Amount,High,2024-11-26 14:48:04.063956,Open,3
30,33,Large Amount,High,2023-05-09 17:13:28.930460,Open,13
31,98,Unusual Location,High,2023-06-23 19:18:15.103545,Escalated,8
32,97,Foreign IP Detected,Low,2023-11-02 01:44:20.712845,Closed,14
33,81,Multiple Transactions,High,2023-10-17 10:21:27.181707,Escalated,2
34,61,Night Time Transaction,Medium,2023-08-10 21:30:03.832304,Closed,10
35,8,Multiple Transactions,High,2023-03-24 20:31:13.835845,Closed,8
36,58,Unusual Location,High,2024-05-26 07:28:10.397568,Closed,14
37,37,Unusual Location,High,2023-02-20 17:32:38.364326,Escalated,8
38,75,Foreign IP Detected,High,2024-09-28 10:09:31.699609,Escalated,15
39,74,Large Amount,Medium,2024-06-03 15:11:10.414185,Escalated,9
40,20,Unusual Location,Low,2023-12-26 22:02:33.114559,Open,13
41,44,Unusual Location,High,2024-04-29 08:12:42.282041,Open,4
42,91,Night Time Transaction,Low,2024-10-21 07:59:30.873144,Open,6
43,48,Multiple Transactions,Low,2023-06-25 08:56:30.605749,Escalated,13
44,44,Foreign IP Detected,High,2024-03-16 16:19:57.661231,Closed,2
45,43,Unusual Location,Low,2023-01-02 01:36:48.564525,Closed,5
46,93,Foreign IP Detected,High,2024-03-27 14:57:40.402703,Closed,2
47,75,Large Amount,Medium,2024-03-04 00:56:13.338458,Closed,11
48,90,Night Time Transaction,High,2023-09-29 13:06:25.951399,Open,5
49,72,Night Time Transaction,Medium,2023-06-19 05:10:04.667125,Open,11
50,90,Foreign IP Detected,High,2023-06-12 02:21:26.266213,Escalated,9
51,47,Unusual Location,Medium,2023-09-16 23:26:26.488659,Closed,3
52,28,Multiple Transactions,Low,2024-08-01 11:38:39.873863,Open,4
53,18,Large Amount,High,2024-08-30 10:45:42.022755,Closed,14
54,13,Foreign IP Detected,High,2024-04-17 05:49:40.772699,Closed,15
55,99,Foreign IP Detected,High,2024-01-28 08:28:43.750013,Escalated,3
56,21,Large Amount,High,2024-07-12 22:01:14.238365,Escalated,1
57,53,Multiple Transactions,High,2024-02-26 21:49:18.319320,Escalated,10
58,37,Night Time Transaction,High,2024-12-11 18:22:35.752347,Open,5
59,61,Large Amount,Medium,2024-02-04 02:52:19.142434,Escalated,8
60,99,Multiple Transactions,Low,2024-05-14 17:54:19.949804,Escalated,3
